length,hue,sat,bright,sequence
0.02,34,43,15,1
0.02,34,43,15,2
0.02,34,43,15,3
0.02,34,43,15,4
0.02,34,43,15,5
0.02,19,15,42,6
0.02,24,59,18,7
0.02,24,59,18,8
0.02,24,59,18,9
0.02,30,29,32,10
0.02,30,29,32,11
0.02,30,29,32,12
0.02,32,24,24,13
0.02,43,15,15,14
0.02,80,5,22,15
0.02,180,9,22,16
0.02,180,11,15,17
0.02,200,7,18,18
0.02,120,2,13,19
0.02,228,14,15,20
0.02,230,12,20,21
0.02,228,17,23,22
0.02,231,24,22,23
0.02,226,31,16,24
0.02,206,30,9,25
0.02,195,53,6,26
0.02,208,43,12,27
0.02,219,30,22,28
0.02,220,22,33,29
0.02,215,25,30,30
0.02,213,29,24,31
0.02,210,31,18,32
0.02,205,36,13,33
0.02,200,39,12,34
0.02,221,28,22,35
0.02,221,26,24,36
0.02,214,34,16,37
0.02,207,55,8,38
0.02,207,50,9,39
0.02,212,30,17,40
0.02,216,42,14,41
0.02,220,25,24,42
0.02,227,17,32,43
0.02,225,20,24,44
0.02,220,41,9,45
0.02,213,75,5,46
0.02,216,91,4,47
0.02,213,50,9,48
0.02,205,26,18,49
0.02,196,27,16,50
0.02,186,50,8,51
0.02,186,63,6,52
0.02,198,50,8,53
0.02,213,55,8,54
0.02,219,54,10,55
0.02,218,9,36,56
0.02,80,8,31,57
0.02,66,38,20,58
0.02,62,38,28,59
0.02,58,45,29,60
0.02,57,43,32,61
0.02,58,40,33,62
0.02,60,39,29,63
0.02,60,44,26,64
0.02,55,30,44,65
0.02,53,25,51,66
0.02,49,19,58,67
0.02,49,14,60,68
0.02,64,10,54,69
0.02,97,11,45,70
0.02,111,8,67,71
0.02,116,7,77,72
0.02,116,7,78,73
0.02,115,6,80,74
0.02,127,5,66,75
0.02,120,5,60,76
0.02,108,6,62,77
0.02,94,10,62,78
0.02,81,18,51,79
0.02,62,30,34,80
0.02,62,35,35,81
0.02,64,37,33,82
0.02,68,41,29,83
0.02,71,37,29,84
0.02,66,26,31,85
0.02,63,18,42,86
0.02,60,16,53,87
0.02,60,19,53,88
0.02,66,28,41,89
0.02,71,16,70,90
0.02,76,17,52,91
0.02,78,16,43,92
0.02,71,9,50,93
0.02,60,6,67,94
0.02,45,8,74,95
0.02,45,11,71,96
0.02,54,12,65,97
0.02,64,11,60,98
0.02,75,8,62,99
0.02,140,2,67,100
0.02,120,1,55,101
0.02,30,4,57,102
0.02,30,11,58,103
0.02,31,30,40,104
0.02,27,53,35,105
0.02,27,62,33,106
0.02,24,71,26,107
0.02,18,76,20,108
0.02,27,55,30,109
0.02,29,71,25,110
0.02,32,51,36,111
0.02,28,49,40,112
0.02,25,46,45,113
0.02,25,35,65,114
0.02,32,40,59,115
0.02,33,40,61,116
0.02,30,44,58,117
0.02,30,45,56,118
0.02,29,47,54,119
0.02,28,50,52,120
0.02,30,51,52,121
0.02,30,50,50,122
0.02,30,50,47,123
0.02,32,51,46,124
0.02,31,50,48,125
0.02,32,49,49,126
0.02,30,49,51,127
0.02,30,49,50,128
0.02,29,47,49,129
0.02,28,46,43,130
0.02,28,40,38,131
0.02,25,39,35,132
0.02,26,27,36,133
0.02,25,30,35,134
0.02,18,17,29,135
0.02,23,18,29,136
0.02,0,9,22,137
0.02,270,3,24,138
0.02,240,4,18,139
0.02,0,0,15,140
0.02,60,7,16,141
0.02,34,13,20,142
0.02,34,9,31,143
0.02,33,14,25,144
0.02,36,17,24,145
0.02,35,23,21,146
0.02,32,41,13,147
0.02,18,23,29,148
0.02,16,26,28,149
0.02,12,23,25,150
0.02,12,16,24,151
0.02,7,13,25,152
0.02,353,16,19,153
0.02,343,9,31,154
0.02,326,10,29,155
0.02,308,12,25,156
0.02,308,9,34,157
0.02,300,7,22,158
0.02,280,5,22,159
0.02,324,11,18,160
0.02,330,24,13,161
0.02,315,27,12,162
0.02,267,12,29,163
0.02,249,12,23,164
0.02,288,8,24,165
0.02,334,10,29,166
0.02,338,13,24,167
0.02,323,13,25,168
0.02,307,15,21,169
0.02,285,20,16,170
0.02,268,20,18,171
0.02,260,12,30,172
0.02,264,7,19,173
0.02,288,8,24,174
0.02,300,16,18,175
0.02,300,24,15,176
0.02,300,19,19,177
0.02,285,20,24,178
0.02,287,14,26,179
0.02,300,5,24,180
0.02,48,11,18,181
0.02,54,33,12,182
0.02,36,29,27,183
0.02,39,39,29,184
0.02,34,54,28,185
0.02,38,61,30,186
0.02,36,52,39,187
0.02,31,54,41,188
0.02,31,61,38,189
0.02,31,61,38,190
0.02,32,59,41,191
0.02,33,58,40,192
0.02,32,78,27,193
0.02,32,66,29,194
0.02,31,50,35,195
0.02,31,48,33,196
0.02,33,65,24,197
0.02,33,49,38,198
0.02,35,52,38,199
0.02,33,50,41,200
0.02,32,51,49,201
0.02,31,52,35,202
0.02,32,80,18,203
0.02,30,49,25,204
0.02,29,39,31,205
0.02,28,43,29,206
0.02,28,60,21,207
0.02,33,75,17,208
0.02,32,52,23,209
0.02,27,52,20,210
0.02,24,62,16,211
0.02,22,69,14,212
0.02,28,50,22,213
0.02,29,37,22,214
0.02,10,14,16,215
0.02,235,27,16,216
0.02,220,41,23,217
0.02,213,54,22,218
0.02,213,55,22,219
0.02,217,50,20,220
0.02,223,42,17,221
0.02,247,31,11,222
0.02,333,28,15,223
0.02,7,36,18,224
0.02,17,38,22,225
0.02,23,43,21,226
0.02,26,78,13,227
0.02,34,78,13,228
0.02,34,71,14,229
0.02,29,69,14,230
0.02,27,71,15,231
0.02,28,72,15,232
0.02,25,63,19,233
0.02,29,67,19,234
0.02,32,69,20,235
0.02,32,66,23,236
0.02,35,62,26,237
0.02,35,51,29,238
0.02,34,64,22,239
0.02,29,77,16,240
0.02,22,77,12,241
0.02,25,51,15,242
0.02,30,58,9,243
0.02,40,47,7,244
0.02,51,35,8,245
0.02,60,18,9,246
0.02,120,10,8,247
0.02,189,37,7,248
0.02,198,31,13,249
0.02,180,4,19,250
0.02,23,10,33,251
0.02,24,9,45,252
0.02,30,16,20,253
0.02,25,31,15,254
0.02,27,56,14,255
0.02,26,76,13,256
0.02,30,79,11,257
0.02,25,63,7,258
0.02,36,26,7,259
0.02,90,8,10,260
0.02,120,4,9,261
0.02,150,8,10,262
0.02,100,14,9,263
0.02,69,17,16,264
0.02,105,14,11,265
0.02,200,43,11,266
0.02,209,56,19,267
0.02,209,46,28,268
0.02,205,62,18,269
0.02,197,32,29,270
0.02,200,31,23,271
0.02,205,52,9,272
0.02,206,87,3,273
0.02,206,58,5,274
0.02,0,0,6,275
0.02,24,30,13,276
0.02,21,34,23,277
0.02,26,32,30,278
0.02,29,44,20,279
0.02,30,65,17,280
0.02,26,67,22,281
0.02,23,60,29,282
0.02,24,62,33,283
0.02,23,50,45,284
0.02,26,62,35,285
0.02,27,60,30,286
0.02,28,52,29,287
0.02,32,40,35,288
0.02,31,39,42,289
0.02,32,60,28,290
0.02,31,77,22,291
0.02,31,63,25,292
0.02,32,62,25,293
0.02,32,59,25,294
0.02,32,55,27,295
0.02,30,59,27,296
0.02,29,59,27,297
0.02,31,53,31,298
0.02,31,53,27,299
0.02,32,54,29,300
0.02,32,51,40,301
0.02,31,51,47,302
0.02,33,54,45,303
0.02,36,73,29,304
0.02,39,62,30,305
0.02,39,64,26,306
0.02,38,61,21,307
0.02,45,35,22,308
0.02,107,11,32,309
0.02,147,27,18,310
0.02,157,22,15,311
0.02,100,7,16,312
0.02,38,26,16,313
0.02,31,54,20,314
0.02,33,60,22,315
0.02,35,63,20,316
0.02,34,68,17,317
0.02,38,73,15,318
0.02,29,71,14,319
0.02,29,57,18,320
0.02,31,62,20,321
0.02,34,68,20,322
0.02,34,70,20,323
0.02,39,63,19,324
0.02,41,71,19,325
0.02,37,73,22,326
0.02,36,56,33,327
0.02,36,36,54,328
0.02,31,52,33,329
0.02,31,55,29,330
0.02,35,59,26,331
0.02,38,56,27,332
0.02,39,54,27,333
0.02,37,43,34,334
0.02,35,38,30,335
0.02,18,14,36,336
0.02,276,9,42,337
0.02,236,16,36,338
0.02,222,33,24,339
0.02,213,37,23,340
0.02,213,39,20,341
0.02,210,37,17,342
0.02,204,32,18,343
0.02,198,28,18,344
0.02,196,10,45,345
0.02,210,6,67,346
0.02,227,4,6,347
0.02,230,2,99,348
0.02,240,1,100,349
0.02,60,1,100,350
0.02,120,1,100,351
0.02,216,2,100,352
0.02,212,6,91,353
0.02,221,30,29,354
0.02,219,48,24,355
0.02,216,26,46,356
0.02,214,17,63,357
0.02,210,18,51,358
0.02,201,21,32,359
0.02,196,14,30,360
0.02,190,6,36,361
0.02,180,2,38,362
0.02,120,1,28,363
0.02,80,4,32,364
0.02,189,11,25,365
0.02,210,34,27,366
0.02,214,41,39,367
0.02,214,35,58,368
0.02,214,43,50,369
0.02,215,43,48,370
0.02,220,44,48,371
0.02,222,43,48,372
0.02,221,42,46,373
0.02,216,41,47,374
0.02,215,53,36,375
0.02,214,55,35,376
0.02,216,51,36,377
0.02,216,57,29,378
0.02,215,71,19,379
0.02,215,85,13,380
0.02,217,63,18,381
0.02,220,53,22,382
0.02,217,57,22,383
0.02,216,48,25,384
0.02,216,43,27,385
0.02,219,42,29,386
0.02,221,41,31,387
0.02,221,40,31,388
0.02,217,40,31,389
0.02,214,47,28,390
0.02,214,53,31,391
0.02,214,58,33,392
0.02,211,65,29,393
0.02,209,55,33,394
0.02,206,37,39,395
0.02,29,44,29,396
0.02,211,67,16,397
0.02,202,44,14,398
0.02,132,24,16,399
0.02,95,17,39,400
0.02,86,21,47,401
0.02,85,27,45,402
0.02,85,33,47,403
0.02,80,30,47,404
0.02,82,33,43,405
0.02,82,33,38,406
0.02,88,31,38,407
0.02,94,28,49,408
0.02,94,33,48,409
0.02,94,38,55,410
0.02,90,23,55,411
0.02,79,20,43,412
0.02,67,27,24,413
0.02,56,23,29,414
0.02,64,24,24,415
0.02,80,23,25,416
0.02,100,21,28,417
0.02,102,24,28,418
0.02,94,31,27,419
0.02,99,25,27,420
0.02,145,17,28,421
0.02,184,19,29,422
0.02,201,25,27,423
0.02,198,19,21,424
0.02,200,23,10,425
0.02,150,10,8,426
0.02,90,11,14,427
0.02,90,9,18,428
0.02,80,18,7,429
0.02,96,24,8,430
0.02,84,14,14,431
0.02,72,11,18,432
0.02,60,17,16,433
0.02,45,22,14,434
0.02,60,13,15,435
0.02,180,16,13,436
0.02,202,59,11,437
0.02,206,83,12,438
0.02,208,63,21,439
0.02,209,60,23,440
0.02,210,64,17,441
0.02,210,74,11,442
0.02,210,73,9,443
0.02,210,62,10,444
0.02,207,62,11,445
0.02,203,67,11,446
0.02,204,80,10,447
0.02,204,80,10,448
0.02,210,69,14,449
0.02,210,68,15,450
0.02,209,69,15,451
0.02,210,63,20,452
0.02,210,55,26,453
0.02,209,56,27,454
0.02,209,67,23,455
0.02,209,70,22,456
0.02,209,67,22,457
0.02,207,77,17,458
0.02,208,68,16,459
0.02,206,78,13,460
0.02,203,65,13,461
0.02,200,55,13,462
0.02,199,76,8,463
0.02,201,69,11,464
0.02,205,65,13,465
0.02,206,50,18,466
0.02,214,43,21,467
0.02,219,41,19,468
0.02,223,39,18,469
0.02,224,48,9,470
0.02,220,30,4,471
0.02,60,40,4,472
0.02,54,77,5,473
0.02,51,74,7,474
0.02,52,79,7,475
0.02,51,74,7,476
0.02,45,67,7,477
0.02,42,63,6,478
0.02,45,44,7,479
0.02,45,44,7,480
0.02,52,38,8,481
0.02,60,41,9,482
0.02,60,61,7,483
0.02,60,50,9,484
0.02,60,59,7,485
0.02,51,47,6,486
0.02,40,35,7,487
0.02,40,38,6,488
0.02,60,71,3,489
0.02,45,89,4,490
0.02,30,59,7,491
0.02,22,44,10,492
0.02,35,50,9,493
0.02,47,52,11,494
0.02,47,54,10,495
0.02,40,62,9,496
0.02,35,57,8,497
0.02,60,18,7,498
0.02,196,38,11,499
0.02,191,31,14,500
0.02,0,0,8,501
0.02,18,48,11,502
0.02,22,39,22,503
0.02,22,49,14,504
0.02,24,53,15,505
0.02,30,44,11,506
0.02,72,24,8,507
0.02,108,23,9,508
0.02,75,40,4,509
0.02,60,29,5,510
0.02,24,25,8,511
0.02,345,19,8,512
0.02,285,22,7,513
0.02,228,45,9,514
0.02,216,65,9,515
0.02,205,76,10,516
0.02,196,53,14,517
0.02,191,33,20,518
0.02,189,61,9,519
0.02,185,52,9,520
0.02,196,60,10,521
0.02,200,67,11,522
0.02,203,53,13,523
0.02,206,47,12,524
0.02,206,42,13,525
0.02,208,42,14,526
0.02,210,45,16,527
0.02,211,49,18,528
0.02,211,69,15,529
0.02,209,64,16,530
0.02,208,54,19,531
0.02,203,37,24,532
0.02,198,27,26,533
0.02,175,20,26,534
0.02,186,16,31,535
0.02,217,17,43,536
0.02,228,16,59,537
0.02,230,13,72,538
0.02,225,10,46,539
0.02,213,7,53,540
0.02,206,5,60,541
0.02,210,6,57,542
0.02,206,7,37,543
0.02,206,8,35,544
0.02,193,14,25,545
0.02,208,36,18,546
0.02,211,59,15,547
0.02,210,61,14,548
0.02,208,48,12,549
0.02,210,46,14,550
0.02,217,48,19,551
0.02,219,56,22,552
0.02,216,73,18,553
0.02,210,88,13,554
0.02,205,77,12,555
0.02,210,56,17,556
0.02,216,48,20,557
0.02,216,57,17,558
0.02,213,76,16,559
0.02,213,86,14,560
0.02,216,34,32,561
0.02,220,20,46,562
0.02,222,23,34,563
0.02,240,17,18,564
0.02,230,13,18,565
0.02,213,20,17,566
0.02,203,32,15,567
0.02,205,32,15,568
0.02,192,58,10,569
0.02,199,76,10,570
0.02,195,65,12,571
0.02,191,57,15,572
0.02,191,56,15,573
0.02,191,60,14,574
0.02,190,62,10,575
0.02,190,69,10,576
0.02,194,61,10,577
0.02,194,55,12,578
0.02,193,56,13,579
0.02,193,62,13,580
0.02,196,54,16,581
0.02,200,46,20,582
0.02,203,46,22,583
0.02,198,56,17,584
0.02,194,72,11,585
0.02,197,62,13,586
0.02,208,32,32,587
0.02,215,25,49,588
0.02,213,27,47,589
0.02,209,28,45,590
0.02,205,24,51,591
0.02,205,25,40,592
0.02,207,35,22,593
0.02,207,65,12,594
0.02,205,67,14,595
0.02,203,61,15,596
0.02,202,26,29,597
0.02,198,15,33,598
0.02,191,34,13,599
0.02,180,42,13,600
0.02,184,44,14,601
0.02,190,50,16,602
0.02,205,57,16,603
0.02,204,58,17,604
0.02,207,69,16,605
0.02,206,64,18,606
0.02,204,67,16,607
0.02,200,66,13,608
0.02,193,58,9,609
0.02,180,45,8,610
0.02,193,39,9,611
0.02,193,45,8,612
0.02,194,57,9,613
0.02,198,63,11,614
0.02,201,80,10,615
0.02,200,62,13,616
0.02,198,63,11,617
0.02,195,42,7,618
0.02,80,14,8,619
0.02,30,29,14,620
0.02,30,40,20,621
0.02,28,48,21,622
0.02,27,64,18,623
0.02,25,86,14,624
0.02,27,71,16,625
0.02,27,64,16,626
0.02,28,67,14,627
0.02,30,67,12,628
0.02,37,62,10,629
0.02,67,41,9,630
0.02,171,21,13,631
0.02,189,22,25,632
0.02,204,29,27,633
0.02,209,34,24,634
0.02,209,33,25,635
0.02,200,31,27,636
0.02,183,25,29,637
0.02,176,32,21,638
0.02,180,23,22,639
0.02,195,11,45,640
0.02,208,6,60,641
0.02,207,13,60,642
0.02,205,18,47,643
0.02,204,17,45,644
0.02,205,15,44,645
0.02,205,20,33,646
0.02,210,39,16,647
0.02,202,38,16,648
0.02,193,36,15,649
0.02,180,35,13,650
0.02,180,37,14,651
0.02,176,36,15,652
0.02,180,32,16,653
0.02,189,35,16,654
0.02,201,34,16,655
0.02,202,16,26,656
0.02,197,3,92,657
0.02,189,3,49,658
0.02,105,7,22,659
0.02,90,13,18,660
0.02,100,11,21,661
0.02,137,13,22,662
0.02,173,12,29,663
0.02,200,15,38,664
0.02,209,15,55,665
0.02,207,11,70,666
0.02,196,16,36,667
0.02,185,19,25,668
0.02,180,19,18,669
0.02,187,15,20,670
0.02,195,10,31,671
0.02,180,10,20,672
0.02,192,10,20,673
0.02,200,6,19,674
0.02,110,6,20,675
0.02,220,5,22,676
0.02,240,4,18,677
0.02,240,3,25,678
0.02,225,7,24,679
0.02,220,10,23,680
0.02,210,7,23,681
0.02,210,8,39,682
0.02,200,14,25,683
0.02,200,18,20,684
0.02,200,17,21,685
0.02,195,12,26,686
0.02,210,7,32,687
0.02,240,1,56,688
0.02,0,2,76,689
0.02,18,4,90,690
0.02,32,8,97,691
0.02,26,21,78,692
0.02,26,35,62,693
0.02,26,43,59,694
0.02,25,47,58,695
0.02,25,53,51,696
0.02,30,61,43,697
0.02,32,45,47,698
0.02,34,33,40,699
0.02,32,21,24,700
0.02,165,17,9,701
0.02,180,55,8,702
0.02,193,67,11,703
0.02,196,62,15,704
0.02,202,57,16,705
0.02,210,67,14,706
0.02,214,62,15,707
0.02,247,7,50,708
0.02,4,11,56,709
0.02,22,34,48,710
0.02,27,46,47,711
0.02,29,55,49,712
0.02,30,54,50,713
0.02,29,46,52,714
0.02,26,40,52,715
0.02,27,42,51,716
0.02,32,37,62,717
0.02,30,39,65,718
0.02,28,36,74,719
0.02,27,34,80,720
0.02,30,38,71,721
0.02,32,49,56,722
0.02,31,57,48,723
0.02,31,55,49,724
0.02,33,44,56,725
0.02,33,39,62,726
0.02,34,42,52,727
0.02,34,52,38,728
0.02,38,51,36,729
0.02,32,51,36,730
0.02,35,71,25,731
0.02,33,55,33,732
0.02,36,52,36,733
0.02,36,53,38,734
0.02,36,47,46,735
0.02,38,34,65,736
0.02,37,35,60,737
0.02,33,44,46,738
0.02,29,49,40,739
0.02,30,45,38,740
0.02,28,44,38,741
0.02,29,42,40,742
0.02,31,42,42,743
0.02,32,42,44,744
0.02,33,45,43,745
0.02,32,52,39,746
0.02,31,47,40,747
0.02,28,42,40,748
0.02,28,45,33,749
0.02,29,48,25,750
0.02,25,46,29,751
0.02,28,50,30,752
0.02,27,46,34,753
0.02,29,41,37,754
0.02,26,39,39,755
0.02,31,43,34,756
0.02,24,48,33,757
0.02,25,44,38,758
0.02,25,41,44,759
0.02,25,38,45,760
0.02,24,39,38,761
0.02,19,47,21,762
0.02,17,35,20,763
0.02,9,33,17,764
0.02,9,36,14,765
0.02,12,35,17,766
0.02,13,53,13,767
0.02,19,69,13,768
0.02,21,65,16,769
0.02,21,61,20,770
0.02,23,55,21,771
0.02,21,37,24,772
0.02,24,30,26,773
0.02,21,35,31,774
0.02,22,23,32,775
0.02,18,16,24,776
0.02,249,15,19,777
0.02,217,23,22,778
0.02,216,26,23,779
0.02,216,26,23,780
0.02,214,25,25,781
0.02,211,52,17,782
0.02,214,40,23,783
0.02,215,34,22,784
0.02,210,30,18,785
0.02,210,35,16,786
0.02,210,36,18,787
0.02,207,33,22,788
0.02,204,33,24,789
0.02,200,36,23,790
0.02,200,40,21,791
0.02,210,42,17,792
0.02,217,36,18,793
0.02,224,34,17,794
0.02,223,31,18,795
0.02,216,28,21,796
0.02,210,31,20,797
0.02,206,30,21,798
0.02,204,27,22,799
0.02,206,27,20,800
0.02,220,24,15,801
0.02,240,13,19,802
0.02,266,14,19,803
0.02,260,15,16,804
0.02,240,11,15,805
0.02,220,7,18,806
0.02,240,6,13,807
0.02,240,6,14,808
0.02,216,12,16,809
0.02,250,6,18,810
0.02,20,20,24,811
0.02,26,45,34,812
0.02,27,52,40,813
0.02,25,55,42,814
0.02,23,57,40,815
0.02,23,63,35,816
0.02,28,63,35,817
0.02,26,61,38,818
0.02,26,58,42,819
0.02,26,58,42,820
0.02,25,66,38,821
0.02,28,69,42,822
