length,hue,sat,bright,sequence
0.02,28,57,45,823
0.02,27,58,45,824
0.02,29,60,43,825
0.02,28,59,44,826
0.02,29,57,45,827
0.02,29,61,45,828
0.02,27,51,56,829
0.02,26,50,59,830
0.02,25,67,43,831
0.02,25,58,44,832
0.02,25,60,41,833
0.02,23,60,40,834
0.02,26,60,40,835
0.02,24,64,44,836
0.02,22,68,47,837
0.02,23,59,58,838
0.02,20,60,56,839
0.02,24,63,54,840
0.02,25,56,58,841
0.02,23,57,53,842
0.02,25,62,46,843
0.02,23,65,45,844
0.02,23,63,47,845
0.02,23,62,47,846
0.02,24,63,44,847
0.02,24,64,44,848
0.02,23,63,44,849
0.02,25,60,48,850
0.02,24,60,54,851
0.02,25,59,55,852
0.02,26,59,53,853
0.02,26,58,55,854
0.02,27,54,57,855
0.02,27,60,49,856
0.02,25,59,48,857
0.02,24,60,49,858
0.02,24,56,49,859
0.02,25,54,50,860
0.02,27,54,48,861
0.02,27,54,46,862
0.02,27,56,44,863
0.02,27,58,42,864
0.02,28,59,42,865
0.02,28,56,46,866
0.02,28,51,52,867
0.02,28,57,46,868
0.02,27,61,42,869
0.02,27,61,42,870
0.02,27,58,44,871
0.02,27,57,48,872
0.02,27,56,51,873
0.02,27,54,51,874
0.02,27,54,46,875
0.02,30,58,35,876
0.02,34,40,33,877
0.02,31,38,25,878
0.02,37,32,22,879
0.02,34,26,21,880
0.02,40,29,16,881
0.02,39,37,15,882
0.02,34,31,18,883
0.02,22,23,18,884
0.02,9,17,16,885
0.02,15,12,13,886
0.02,26,21,13,887
0.02,48,14,15,888
0.02,90,10,15,889
0.02,130,15,16,890
0.02,133,22,16,891
0.02,120,17,18,892
0.02,78,21,18,893
0.02,43,34,24,894
0.02,39,33,35,895
0.02,36,25,47,896
0.02,43,17,41,897
0.02,47,10,58,898
0.02,52,9,68,899
0.02,50,9,81,900
0.02,49,7,99,901
0.02,65,5,96,902
0.02,70,3,82,903
0.02,180,1,64,904
0.02,216,3,57,905
0.02,240,1,58,906
0.02,45,3,56,907
0.02,48,4,56,908
0.02,46,6,84,909
0.02,37,11,84,910
0.02,33,16,76,911
0.02,33,15,83,912
0.02,34,10,94,913
0.02,37,9,82,914
0.02,40,6,77,915
0.02,40,3,81,916
0.02,42,5,82,917
0.02,34,11,55,918
0.02,34,16,51,919
0.02,35,13,65,920
0.02,33,10,78,921
0.02,46,7,77,922
0.02,105,3,61,923
0.02,173,5,74,924
0.02,191,8,76,925
0.02,196,12,73,926
0.02,195,16,75,927
0.02,199,19,76,928
0.02,200,24,75,929
0.02,203,30,71,930
0.02,205,33,71,931
0.02,203,29,76,932
0.02,199,24,67,933
0.02,195,19,59,934
0.02,198,14,57,935
0.02,204,10,56,936
0.02,206,6,46,937
0.02,75,10,15,938
0.02,50,24,10,939
0.02,90,12,7,940
0.02,204,29,14,941
0.02,209,25,36,942
0.02,205,33,49,943
0.02,206,35,57,944
0.02,204,37,60,945
0.02,206,39,61,946
0.02,206,41,62,947
0.02,206,41,66,948
0.02,206,41,64,949
0.02,204,37,62,950
0.02,199,39,51,951
0.02,199,55,33,952
0.02,202,45,47,953
0.02,203,35,65,954
0.02,206,31,75,955
0.02,204,33,76,956
0.02,205,36,74,957
0.02,200,33,88,958
0.02,201,37,82,959
0.02,200,38,76,960
0.02,200,37,76,961
0.02,203,32,75,962
0.02,206,32,58,963
0.02,206,34,47,964
0.02,209,36,44,965
0.02,207,39,45,966
0.02,205,38,45,967
0.02,208,32,44,968
0.02,208,28,43,969
0.02,207,33,32,970
0.02,205,47,20,971
0.02,201,57,14,972
0.02,195,59,11,973
0.02,189,45,11,974
0.02,191,31,14,975
0.02,192,24,16,976
0.02,187,21,17,977
0.02,200,22,16,978
0.02,198,29,14,979
0.02,202,35,12,980
0.02,205,43,11,981
0.02,202,48,9,982
0.02,198,42,12,983
0.02,195,50,9,984
0.02,190,48,10,985
0.02,185,41,11,986
0.02,185,40,12,987
0.02,191,37,12,988
0.02,191,41,11,989
0.02,191,48,9,990
0.02,191,46,9,991
0.02,191,41,11,992
0.02,191,55,8,993
0.02,192,50,8,994
0.02,192,29,14,995
0.02,192,25,16,996
0.02,193,53,7,997
0.02,193,39,9,998
0.02,195,38,8,999
0.02,193,43,8,1000
0.02,193,45,8,1001
0.02,197,54,5,1002
0.02,200,38,6,1003
0.02,210,43,6,1004
0.02,200,40,6,1005
0.02,197,39,7,1006
0.02,193,43,8,1007
0.02,207,48,9,1008
0.02,198,48,8,1009
0.02,200,45,8,1010
0.02,191,41,7,1011
0.02,180,44,4,1012
0.02,180,83,2,1013
0.02,165,15,11,1014
0.02,170,14,17,1015
0.02,171,18,15,1016
0.02,172,73,4,1017
0.02,193,56,6,1018
0.02,186,50,8,1019
0.02,186,34,11,1020
0.02,186,31,13,1021
0.02,180,45,9,1022
0.02,193,45,8,1023
0.02,163,32,9,1024
0.02,160,29,8,1025
0.02,156,25,8,1026
0.02,156,23,9,1027
0.02,180,16,13,1028
0.02,195,35,9,1029
0.02,195,32,10,1030
0.02,193,27,13,1031
0.02,187,27,12,1032
0.02,180,24,10,1033
0.02,180,28,7,1034
0.02,192,22,9,1035
0.02,195,13,12,1036
0.02,180,9,13,1037
0.02,150,5,16,1038
0.02,150,5,16,1039
0.02,150,6,13,1040
0.02,150,7,12,1041
0.02,120,6,13,1042
0.02,120,9,9,1043
0.02,100,9,13,1044
0.02,105,10,15,1045
0.02,120,10,16,1046
0.02,120,9,18,1047
0.02,120,10,16,1048
0.02,120,13,12,1049
0.02,140,15,8,1050
0.02,160,25,6,1051
0.02,160,30,4,1052
0.02,180,26,7,1053
0.02,180,15,13,1054
0.02,189,23,12,1055
0.02,198,42,9,1056
0.02,202,52,8,1057
0.02,207,61,7,1058
0.02,207,52,8,1059
0.02,208,36,14,1060
0.02,212,33,18,1061
0.02,210,39,16,1062
0.02,210,36,17,1063
0.02,212,49,14,1064
0.02,213,47,17,1065
0.02,211,51,16,1066
0.02,213,43,20,1067
0.02,214,35,25,1068
0.02,211,40,22,1069
0.02,211,52,17,1070
0.02,211,53,17,1071
0.02,211,59,18,1072
0.02,211,36,29,1073
0.02,211,32,33,1074
0.02,211,34,31,1075
0.02,211,44,24,1076
0.02,211,63,17,1077
0.02,211,52,20,1078
0.02,211,49,20,1079
0.02,211,51,18,1080
0.02,211,52,17,1081
0.02,211,55,15,1082
0.02,211,51,16,1083
0.02,212,44,17,1084
0.02,212,42,16,1085
0.02,210,52,12,1086
0.02,212,45,13,1087
0.02,214,45,12,1088
0.02,214,39,14,1089
0.02,212,36,16,1090
0.02,212,37,16,1091
0.02,210,40,16,1092
0.02,210,41,15,1093
0.02,208,40,16,1094
0.02,207,38,18,1095
0.02,207,35,20,1096
0.02,207,32,22,1097
0.02,207,35,20,1098
0.02,207,36,20,1099
0.02,205,33,20,1100
0.02,205,34,20,1101
0.02,203,44,16,1102
0.02,203,42,17,1103
0.02,202,36,18,1104
0.02,200,28,21,1105
0.02,206,22,28,1106
0.02,207,26,27,1107
0.02,207,31,23,1108
0.02,207,38,19,1109
0.02,210,39,16,1110
0.02,210,41,15,1111
0.02,208,30,17,1112
0.02,208,30,17,1113
0.02,208,32,16,1114
0.02,212,35,15,1115
0.02,212,34,15,1116
0.02,207,33,13,1117
0.02,216,28,14,1118
0.02,212,29,18,1119
0.02,212,28,18,1120
0.02,212,39,13,1121
0.02,212,36,14,1122
0.02,224,29,15,1123
0.02,220,36,13,1124
0.02,212,38,13,1125
0.02,212,32,16,1126
0.02,223,47,12,1127
0.02,223,42,13,1128
0.02,220,47,13,1129
0.02,221,48,13,1130
0.02,221,39,16,1131
0.02,221,36,17,1132
0.02,221,44,14,1133
0.02,219,47,14,1134
0.02,218,42,18,1135
0.02,218,36,21,1136
0.02,218,44,17,1137
0.02,218,42,18,1138
0.02,217,38,18,1139
0.02,215,35,19,1140
0.02,215,35,19,1141
0.02,215,28,24,1142
0.02,215,25,26,1143
0.02,216,29,20,1144
0.02,216,39,15,1145
0.02,210,37,15,1146
0.02,208,56,11,1147
0.02,201,64,9,1148
0.02,208,57,9,1149
0.02,212,43,12,1150
0.02,217,34,15,1151
0.02,224,27,16,1152
0.02,224,42,10,1153
0.02,216,45,9,1154
0.02,213,37,9,1155
0.02,213,45,8,1156
0.02,198,38,10,1157
0.02,200,17,21,1158
0.02,203,15,22,1159
0.02,200,12,19,1160
0.02,195,7,22,1161
0.02,220,5,22,1162
0.02,240,3,12,1163
0.02,0,8,9,1164
0.02,24,18,11,1165
0.02,30,19,12,1166
0.02,27,33,13,1167
0.02,30,39,12,1168
0.02,30,48,10,1169
0.02,27,58,7,1170
0.02,27,58,7,1171
0.02,36,45,9,1172
0.02,36,34,11,1173
0.02,30,36,9,1174
0.02,30,62,5,1175
0.02,30,67,5,1176
0.02,30,42,7,1177
0.02,30,40,8,1178
0.02,30,48,8,1179
0.02,27,50,9,1180
0.02,27,52,8,1181
0.02,23,52,10,1182
0.02,20,63,7,1183
0.02,18,62,8,1184
0.02,26,58,9,1185
0.02,32,59,9,1186
0.02,43,39,7,1187
0.02,60,41,7,1188
0.02,36,63,6,1189
0.02,30,74,7,1190
0.02,34,59,11,1191
0.02,37,67,9,1192
0.02,33,83,9,1193
0.02,26,62,18,1194
0.02,22,57,23,1195
0.02,26,81,15,1196
0.02,21,89,7,1197
0.02,27,85,5,1198
0.02,24,77,5,1199
0.02,20,67,7,1200
0.02,21,65,10,1201
0.02,28,67,18,1202
0.02,31,47,29,1203
0.02,31,50,24,1204
0.02,28,65,16,1205
0.02,30,60,17,1206
0.02,26,43,25,1207
0.02,24,60,18,1208
0.02,22,64,15,1209
0.02,21,61,15,1210
0.02,22,90,8,1211
0.02,32,50,10,1212
0.02,42,42,9,1213
0.02,37,35,9,1214
0.02,26,28,10,1215
0.02,30,22,11,1216
0.02,70,30,8,1217
0.02,165,28,11,1218
0.02,205,22,38,1219
0.02,210,20,69,1220
0.02,208,20,80,1221
0.02,209,20,60,1222
0.02,207,18,58,1223
0.02,208,15,68,1224
0.02,213,13,79,1225
0.02,213,13,77,1226
0.02,216,14,71,1227
0.02,219,15,66,1228
0.02,221,16,68,1229
0.02,219,16,70,1230
0.02,217,13,68,1231
0.02,210,6,55,1232
0.02,150,2,50,1233
0.02,210,1,53,1234
0.02,228,4,50,1235
0.02,210,3,31,1236
0.02,70,9,27,1237
0.02,55,14,32,1238
0.02,37,18,35,1239
0.02,30,20,35,1240
0.02,32,23,29,1241
0.02,40,28,21,1242
0.02,44,32,18,1243
0.02,35,26,25,1244
0.02,32,22,33,1245
0.02,34,26,35,1246
0.02,35,26,36,1247
0.02,34,23,42,1248
0.02,30,26,42,1249
0.02,23,28,41,1250
0.02,20,28,38,1251
0.02,17,28,30,1252
0.02,9,29,18,1253
0.02,330,7,11,1254
0.02,206,37,15,1255
0.02,207,54,20,1256
0.02,206,49,33,1257
0.02,208,45,44,1258
0.02,212,40,56,1259
0.02,214,39,61,1260
0.02,217,42,55,1261
0.02,220,46,48,1262
0.02,220,46,45,1263
0.02,221,39,48,1264
0.02,221,53,33,1265
0.02,220,51,31,1266
0.02,221,35,42,1267
0.02,220,40,35,1268
0.02,220,49,29,1269
0.02,219,55,26,1270
0.02,218,55,27,1271
0.02,219,51,28,1272
0.02,216,51,29,1273
0.02,215,55,25,1274
0.02,214,56,24,1275
0.02,211,44,27,1276
0.02,211,73,15,1277
0.02,210,50,20,1278
0.02,209,37,26,1279
0.02,205,34,30,1280
0.02,208,34,33,1281
0.02,213,38,34,1282
0.02,212,44,33,1283
0.02,215,44,37,1284
0.02,217,38,47,1285
0.02,216,33,58,1286
0.02,214,36,55,1287
0.02,213,42,44,1288
0.02,212,48,35,1289
0.02,212,42,36,1290
0.02,209,37,35,1291
0.02,209,41,29,1292
0.02,209,38,30,1293
0.02,212,36,33,1294
0.02,213,43,29,1295
0.02,215,70,18,1296
0.02,215,64,22,1297
0.02,214,54,29,1298
0.02,217,47,35,1299
0.02,219,46,37,1300
0.02,219,54,31,1301
0.02,219,55,31,1302
0.02,220,54,30,1303
0.02,219,55,29,1304
0.02,215,58,26,1305
0.02,216,55,26,1306
0.02,215,50,28,1307
0.02,216,51,29,1308
0.02,218,55,27,1309
0.02,218,62,24,1310
0.02,216,49,29,1311
0.02,214,59,23,1312
0.02,215,62,21,1313
0.02,214,54,20,1314
0.02,210,49,18,1315
0.02,208,33,22,1316
0.02,206,29,22,1317
0.02,203,27,19,1318
0.02,205,28,17,1319
0.02,208,34,15,1320
0.02,210,23,27,1321
0.02,213,31,25,1322
0.02,214,44,20,1323
0.02,215,55,18,1324
0.02,216,53,20,1325
0.02,218,50,21,1326
0.02,216,66,16,1327
0.02,216,56,22,1328
0.02,215,41,30,1329
0.02,210,43,29,1330
0.02,207,53,27,1331
0.02,206,46,30,1332
0.02,205,45,33,1333
0.02,206,53,29,1334
0.02,206,44,35,1335
0.02,207,41,36,1336
0.02,209,47,31,1337
0.02,211,51,28,1338
0.02,212,50,28,1339
0.02,214,45,31,1340
0.02,218,41,31,1341
0.02,218,41,31,1342
0.02,219,44,29,1343
0.02,219,46,27,1344
0.02,217,37,33,1345
0.02,217,23,53,1346
0.02,213,38,30,1347
0.02,215,55,18,1348
0.02,214,56,16,1349
0.02,212,50,13,1350
0.02,201,44,13,1351
0.02,200,22,16,1352
0.02,300,5,16,1353
0.02,0,19,17,1354
0.02,6,23,17,1355
0.02,27,35,10,1356
0.02,34,44,6,1357
0.02,12,21,9,1358
0.02,315,10,16,1359
0.02,223,11,24,1360
0.02,201,30,26,1361
0.02,200,33,36,1362
0.02,201,31,47,1363
0.02,202,31,51,1364
0.02,203,36,46,1365
0.02,204,24,60,1366
0.02,207,26,47,1367
0.02,203,28,34,1368
0.02,196,25,30,1369
0.02,198,16,36,1370
0.02,206,19,33,1371
0.02,210,11,57,1372
0.02,197,12,45,1373
0.02,185,15,32,1374
0.02,175,10,53,1375
0.02,172,15,42,1376
0.02,173,14,47,1377
0.02,183,15,49,1378
0.02,188,19,45,1379
0.02,183,22,36,1380
0.02,172,17,36,1381
0.02,164,14,41,1382
0.02,171,13,41,1383
0.02,196,14,36,1384
0.02,212,23,29,1385
0.02,229,17,49,1386
0.02,231,14,61,1387
0.02,232,10,60,1388
0.02,232,6,52,1389
0.02,255,4,42,1390
0.02,300,4,37,1391
0.02,317,4,69,1392
0.02,311,5,84,1393
0.02,305,6,80,1394
0.02,280,7,70,1395
0.02,220,9,67,1396
0.02,202,18,42,1397
0.02,194,21,31,1398
0.02,189,16,33,1399
0.02,180,12,33,1400
0.02,168,19,20,1401
0.02,156,13,31,1402
0.02,160,11,32,1403
0.02,172,12,27,1404
0.02,172,12,27,1405
0.02,171,8,36,1406
0.02,154,8,33,1407
0.02,160,10,24,1408
0.02,144,8,24,1409
0.02,110,7,36,1410
0.02,100,5,47,1411
0.02,90,8,41,1412
0.02,84,11,35,1413
0.02,72,12,33,1414
0.02,69,8,36,1415
0.02,69,7,38,1416
0.02,69,7,39,1417
0.02,69,7,39,1418
0.02,75,8,38,1419
0.02,67,11,33,1420
0.02,71,14,31,1421
0.02,75,14,33,1422
0.02,75,14,35,1423
0.02,74,14,36,1424
0.02,74,13,38,1425
0.02,74,13,38,1426
0.02,71,11,39,1427
0.02,67,8,42,1428
0.02,75,6,50,1429
0.02,100,9,52,1430
0.02,109,11,38,1431
0.02,107,11,31,1432
0.02,111,7,38,1433
0.02,154,6,50,1434
0.02,180,12,29,1435
0.02,174,17,24,1436
0.02,142,16,19,1437
0.02,90,18,18,1438
0.02,55,21,22,1439
0.02,30,26,27,1440
0.02,25,17,39,1441
0.02,20,5,45,1442
0.02,195,4,44,1443
0.02,163,8,33,1444
0.02,73,10,36,1445
0.02,56,18,33,1446
0.02,53,24,30,1447
0.02,48,28,28,1448
0.02,44,32,29,1449
0.02,38,33,30,1450
0.02,36,30,37,1451
0.02,36,31,34,1452
0.02,37,36,29,1453
0.02,41,30,29,1454
0.02,40,20,30,1455
0.02,42,15,33,1456
0.02,51,7,38,1457
0.02,100,4,31,1458
0.02,156,6,31,1459
0.02,173,9,37,1460
0.02,180,8,46,1461
0.02,190,9,51,1462
0.02,189,11,47,1463
0.02,174,10,38,1464
0.02,153,9,40,1465
0.02,120,10,36,1466
0.02,100,11,32,1467
0.02,87,12,30,1468
0.02,75,16,29,1469
0.02,65,17,28,1470
0.02,60,15,35,1471
0.02,56,14,40,1472
0.02,52,14,41,1473
0.02,60,16,35,1474
0.02,60,12,35,1475
0.02,65,15,32,1476
0.02,71,12,35,1477
0.02,72,10,39,1478
0.02,72,10,40,1479
0.02,72,10,40,1480
0.02,72,8,47,1481
0.02,66,8,47,1482
0.02,66,9,44,1483
0.02,65,10,45,1484
0.02,60,9,46,1485
0.02,51,11,48,1486
0.02,51,16,33,1487
0.02,55,15,33,1488
0.02,65,11,38,1489
0.02,73,11,33,1490
0.02,94,9,31,1491
0.02,120,10,26,1492
0.02,135,9,35,1493
0.02,146,6,46,1494
0.02,147,7,51,1495
0.02,128,6,51,1496
0.02,128,8,41,1497
0.02,120,9,32,1498
0.02,103,10,29,1499
0.02,105,8,37,1500
0.02,120,5,51,1501
0.02,120,6,53,1502
0.02,127,6,52,1503
0.02,140,8,45,1504
0.02,150,10,30,1505
0.02,150,7,35,1506
0.02,180,6,31,1507
0.02,160,11,22,1508
0.02,154,21,13,1509
0.02,137,16,18,1510
0.02,147,8,47,1511
0.02,127,8,45,1512
0.02,120,9,40,1513
0.02,120,10,38,1514
0.02,115,12,39,1515
0.02,115,14,35,1516
0.02,115,12,41,1517
0.02,115,10,41,1518
0.02,109,12,37,1519
0.02,114,11,34,1520
0.02,113,8,42,1521
0.02,120,9,34,1522
0.02,111,9,30,1523
0.02,120,9,27,1524
0.02,128,17,18,1525
0.02,146,12,23,1526
0.02,143,13,24,1527
0.02,135,14,22,1528
0.02,127,13,25,1529
0.02,112,9,34,1530
0.02,103,10,29,1531
0.02,90,17,18,1532
0.02,80,18,19,1533
0.02,72,13,31,1534
0.02,72,9,44,1535
0.02,72,15,27,1536
0.02,72,16,24,1537
0.02,80,15,24,1538
0.02,96,14,28,1539
0.02,96,12,33,1540
0.02,103,10,28,1541
0.02,120,7,37,1542
0.02,135,8,41,1543
0.02,147,10,36,1544
0.02,147,16,22,1545
0.02,168,20,19,1546
0.02,173,14,23,1547
0.02,171,14,19,1548
0.02,180,20,12,1549
0.02,180,13,9,1550
0.02,150,5,15,1551
0.02,180,2,16,1552
0.02,300,2,16,1553
0.02,330,4,20,1554
0.02,180,1,29,1555
0.02,220,5,22,1556
0.02,180,6,28,1557
0.02,187,9,35,1558
0.02,191,14,31,1559
0.02,185,15,32,1560
0.02,199,26,24,1561
0.02,201,22,31,1562
0.02,199,19,40,1563
0.02,197,18,45,1564
0.02,196,23,38,1565
0.02,197,32,35,1566
0.02,194,34,32,1567
0.02,190,29,33,1568
0.02,183,20,36,1569
0.02,176,16,38,1570
0.02,175,13,35,1571
0.02,169,17,25,1572
0.02,167,12,28,1573
0.02,173,11,33,1574
0.02,185,16,28,1575
0.02,191,13,33,1576
0.02,194,17,29,1577
0.02,196,20,29,1578
0.02,195,16,39,1579
0.02,192,10,59,1580
0.02,191,7,60,1581
0.02,180,8,38,1582
0.02,163,9,29,1583
0.02,150,7,33,1584
0.02,144,5,43,1585
0.02,120,5,40,1586
0.02,103,9,29,1587
0.02,93,12,30,1588
0.02,88,15,35,1589
0.02,85,16,30,1590
0.02,93,9,39,1591
0.02,90,7,33,1592
0.02,240,1,37,1593
0.02,250,5,44,1594
0.02,260,8,43,1595
0.02,268,11,47,1596
0.02,273,11,40,1597
0.02,273,12,30,1598
0.02,283,9,30,1599
0.02,280,5,44,1600
0.02,266,9,31,1601
0.02,247,11,28,1602
0.02,235,17,28,1603
0.02,233,23,29,1604
0.02,233,24,29,1605